,id,algorithm,lower_bounds,upper_bounds,dfd_pdr,dfd_algorithm,mean_localisation_errors_pdr,mean_localisation_errors_algorithm,third_quantile_localisation_errors_pdr,third_quantile_localisation_errors_algorithm
145,10,AOE,40,70,0.38662010950624237,0.20067963586359186,12.95354045379269,6.461410541631961,20.913304519741033,8.248702278798499
146,17,AOE,40,70,0.05355347004177055,0.11934100117582166,2.4454904624953757,2.783308261137118,3.2538225191566075,4.044146210394188
147,14,AOE,40,70,0.2249477853867765,0.08806790553853519,8.950153390831712,5.949297555623896,12.2049534768212,7.548810048451269
148,19,AOE,40,70,0.0596348610882763,0.09027780986993195,3.856370197033094,3.865668213310416,4.886944683492949,4.886944683492949
149,4,AOE,40,70,0.1352224224449558,0.1659917102273926,6.240562257949761,6.756575535298665,8.742612809924573,8.860145577831839
150,2,AOE,40,70,0.7383483645600684,0.1723905352363439,19.51287082720274,7.051088623989368,33.78759191823704,9.183542440196753
151,5,AOE,40,70,0.19541346789072717,0.07214871652485813,7.070493755894075,2.9453687822110637,12.788689590681088,4.689410272673663
152,3,AOE,40,70,0.13268935311318694,0.05649577402555883,4.015369378202639,3.0338597528476825,5.860782865182081,3.835161522530993
153,1,AOE,40,70,0.27446629165365777,0.10029389837618854,10.317168875412948,3.270876014077304,17.72707672518522,5.521056412466208
154,7,AOE,40,70,0.20421457929777032,0.10269426298307088,8.013474509836767,4.2636626017496715,13.213142214796884,5.310809448078958
155,18,AOE,40,70,0.133368599659097,0.08868897684271536,4.003299687334457,4.213915077138438,6.160328796080773,7.4451932917718935
156,6,AOE,40,70,0.11731535910593234,0.11981960070244399,5.7572002248098935,6.5052200066092665,7.4605629384124965,8.452194618380872
157,16,AOE,40,70,0.07024152327204156,0.05969396980765242,2.9490392320159575,2.6849309549931526,4.1025195074791085,3.2379400383170083
158,15,AOE,40,70,0.12629952699363642,0.10474273565033661,4.553098999485275,3.570716037017892,6.091459883724185,4.478736266091689
159,8,AOE,40,70,0.379986014831172,0.09185587183696295,9.267051237626399,6.285884830762861,13.39165480305109,8.147482677649993
160,13,AOE,50,70,0.03326718505462879,0.03986738552384348,1.4005738445885925,1.2638870518537029,1.8233862593207295,1.5141635605830674
161,10,AOE,50,70,0.38662010950624237,0.19891652833384832,12.95354045379269,6.815126599644735,20.913304519741033,9.675026161882904
162,17,AOE,50,70,0.05355347004177055,0.10721384546579589,2.4454904624953757,2.492026482401051,3.2538225191566075,3.2538225191566075
163,14,AOE,50,70,0.2249477853867765,0.11362604120666393,8.950153390831712,5.6530429390531385,12.2049534768212,7.133094703114924
164,19,AOE,50,70,0.0596348610882763,0.09027780986993195,3.856370197033094,3.865668213310416,4.886944683492949,4.886944683492949
165,4,AOE,50,70,0.1352224224449558,0.1659917102273926,6.240562257949761,7.208148935028906,8.742612809924573,9.048651180304649
166,2,AOE,50,70,0.7383483645600684,0.17143122945314307,19.51287082720274,7.083984446678643,33.78759191823704,9.404122094108974
167,5,AOE,50,70,0.19541346789072717,0.08390396853114512,7.070493755894075,3.962227344679416,12.788689590681088,6.24047728776665
168,3,AOE,50,70,0.13268935311318694,0.05649577632732019,4.015369378202639,2.6612529783018357,5.860782865182081,3.2654024370297554
169,1,AOE,50,70,0.27446629165365777,0.12353210532411751,10.317168875412948,4.119033503991607,17.72707672518522,6.684213786485678
170,7,AOE,50,70,0.20421457929777032,0.10269426298307088,8.013474509836767,4.530939781995162,13.213142214796884,5.5845739249744035
171,18,AOE,50,70,0.133368599659097,0.07636431144607356,4.003299687334457,3.9555412399300898,6.160328796080773,6.504835741974687
172,6,AOE,50,70,0.11731535910593234,0.11231252775691729,5.7572002248098935,6.189112626495543,7.4605629384124965,8.743176337979904
173,16,AOE,50,70,0.07024152327204156,0.050876466746706886,2.9490392320159575,2.5269714904009564,4.1025195074791085,2.7487588479910485
174,15,AOE,50,70,0.12629952699363642,0.12629952699363642,4.553098999485275,4.553098999485275,6.091459883724185,6.091459883724185
175,8,AOE,50,70,0.379986014831172,0.10047216452428488,9.267051237626399,6.3348428705056685,13.39165480305109,8.18280076091721
176,13,AOE,20,100,0.03326718505462879,0.05264397673360102,1.4005738445885925,2.892768741595192,1.8233862593207295,4.192798936290567
177,10,AOE,20,100,0.38662010950624237,0.1567555923995071,12.95354045379269,7.170637673562657,20.913304519741033,8.828282234245282
178,17,AOE,20,100,0.05355347004177055,0.1298582032425144,2.4454904624953757,5.944999048983105,3.2538225191566075,10.476630164915157
179,14,AOE,20,100,0.2249477853867765,0.1608204004368261,8.950153390831712,7.899196886132871,12.2049534768212,12.845989335228497
180,19,AOE,20,100,0.0596348610882763,0.07634633349968788,3.856370197033094,2.022107037850432,4.886944683492949,2.676014909775427
181,4,AOE,20,100,0.1352224224449558,0.15977506983439957,6.240562257949761,6.573632246204455,8.742612809924573,8.768687827652244
182,2,AOE,20,100,0.7383483645600684,0.18213932270892252,19.51287082720274,7.891970230120541,33.78759191823704,9.938100670740523
183,5,AOE,20,100,0.19541346789072717,0.07214871652472839,7.070493755894075,3.5679401172798384,12.788689590681088,5.681488882818304
184,3,AOE,20,100,0.13268935311318694,0.11272242541097949,4.015369378202639,3.738097573286594,5.860782865182081,5.523324865322102
185,1,AOE,20,100,0.27446629165365777,0.10029389837618854,10.317168875412948,4.161637065525499,17.72707672518522,6.796645707567623
186,7,AOE,20,100,0.20421457929777032,0.09686191842722591,8.013474509836767,4.159135252191485,13.213142214796884,5.584173462062074
187,18,AOE,20,100,0.133368599659097,0.14300920604922387,4.003299687334457,8.820735859356072,6.160328796080773,12.653452904846047
188,6,AOE,20,100,0.11731535910593234,0.16139411020133082,5.7572002248098935,6.886529638655392,7.4605629384124965,9.220095354872116
